"Flux/Origine","type","Statut","superviseur","Date posté","Date reçu","Date Traité","pseudo","Uid","Titre","Corps Message","Image","Prio","Id.N","ID du contenu","Action"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Agression","","27.03.2026 20:56:56","27.03.2026 21:57:20","27.03.2026 21:57:21","CYRILLE V","","","Mais tant que vous contribuez à ce journal en écrivant d’une main dans ses forums, vous restez complice de cette bien-pensance, que vous dénoncez de l’autre main. Ca ne doit pas être facile à vivre tous les jours…","","26","26983008630","478681","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Agression","","26.03.2026 22:55:52","26.03.2026 23:56:05","26.03.2026 23:56:06","CYRILLE V","","","Tu n’idolâtres plus les États-Unis ?","","26","26980003744","478620","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Agression","","28.03.2026 23:54:24","29.03.2026 00:54:31","29.03.2026 00:54:33","CYRILLE V","","","Comme d’habitude chez les antivax : des affirmations sans source. Et si vous refusez d’y croire aveuglément, vous êtes un fasciste. Et hop ! « Circulez, y a rien à voir ». Coluche. Et y a surtout rien de scientifique. 🤡","","26","26986509746","478741","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Agression","","26.03.2026 23:11:01","27.03.2026 00:11:10","27.03.2026 00:11:12","DOMINIQUE B_281","","","Mal les US. La fille y habite depuis plus de 15 ans. Et qui vous dit que je suis son confrère ? Je serais trop honteux. Mais il est vrai à vous lire que vous avez l’air de tout savoir. Ou peut-être aveugle et sourd ou naïf….","","26","26980036067","478622","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Agression","","22.03.2026 17:06:48","22.03.2026 18:07:13","22.03.2026 18:07:13","avatar","","","Tg","","26","26965133651","478447","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Agression","","24.03.2026 20:13:09","24.03.2026 21:13:35","24.03.2026 21:13:37","Sniffeur","","","Non T’as quel âge? T’es médecin?","","26","26972678691","478552","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Agression","","21.03.2026 00:41:29","21.03.2026 01:41:39","21.03.2026 01:41:41","CYRILLE V","","","Contrairement à ce que je pensais, vous trouvez le moyen de vous ridiculiser encore plus.","","26","26960465100","478408","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","24.03.2026 07:47:32","24.03.2026 08:47:43","24.03.2026 08:47:44","p.henry","","","Aux frais de Nicolas mais aussi dans l'intérêt de Nicolas... car quand Nicolas est grand remplacé à son travail il fait comment pour se soigner ?","","26","26970577755","478502","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","25.03.2026 12:06:02","25.03.2026 13:06:33","25.03.2026 13:06:35","Candide","","","Il croyait ... en des illusions et des chimères, déjà oblolètes, condamnées par l'échec mondial du communisme et qu'a-t-il fait ? privatisations après s'être fait élire pour des nationalisations ; capitulation sur le voile (= piétinement de notre laïcité, de nos lois, de nos anciens, morts pour notre liberté, accélérateur vers la guerre civile ?) ; capitulation sur l'immigration incontrôlée ; 35 heures ; crypto-trotskyste = gouvernant de la France prônant en secret le renversement de son propre gouvernement par une révolution anti-démocratique ... attrape-nigaud alibi supplémentaire de ses propres privilèges de fonctionnaire-gauche-caviar ? Liste à compléter ... ? Le pire, aucune auto-critique de ses co-religionnaires depuis des décennies, de nos jours encore, et au contraire, insulte des opposants (complotistes, populistes, fascistes, nazis, néo-nazis, etc. etc) ? Deuil national ? Au Panthéon ?","","26","26974655263","478572","Editer"
"GPS - Le Quotidien du Médecin - Site (LQDMC)","Commentaire","Traité
Refusé
Insulte","","25.03.2026 11:17:39","25.03.2026 12:17:45","25.03.2026 12:17:48","Candide","","","Il croyait ... en des illusions et des chimères, déjà oblolètes, condamnées par l'échec mondial du communisme et qu'a-t-il fait ? privatisations après s'être fait élire pour des nationalisations ; capitulation sur le voile (= piétinement de notre laïcité, de nos lois, de nos anciens, morts pour notre liberté, accélérateur vers la guerre civile ?) ; capitulation sur l'immigration incontrôlée ; 35 heures ; crypto-trotskyste = gouvernant de la France prônant en secret le renversement de son propre gouvernement par une révolution anti-démocratique ... attrape-nigaud alibi supplémentaire de ses propres privilèges de fonctionnaire-gauche-caviar ? Liste à compléter ... ? Le pire, aucune auto-critique de ses co-religionnaires depuis des décennies, de nos jours encore, et au contraire, insulte des opposants (complotistes, populistes, fascistes, nazis, néo-nazis, etc. etc) ? Deuil national ? Au Panthéon ?","","26","26974526327","478571","Editer"
